open,low,high,close,change,changepercent,date miladi,date shamsi
"654,700","654,350","667,300","660,850",5550,0.85%,27/10/2024,1403/08/06
"658,950","652,800","679,000","655,300",24200,3.69%,26/10/2024,1403/08/05
"676,750","674,900","685,300","679,500",2200,0.32%,24/10/2024,1403/08/03
"663,150","663,000","684,800","677,300",15800,2.39%,23/10/2024,1403/08/02
"648,850","648,350","661,600","661,500",12950,2%,22/10/2024,1403/08/01
"642,050","641,600","648,600","648,550",6600,1.03%,21/10/2024,1403/07/30
"637,950","637,900","645,950","641,950",2350,0.37%,20/10/2024,1403/07/29
"633,850","633,600","640,000","639,600",3000,0.47%,19/10/2024,1403/07/28
"633,500","633,300","638,800","636,600",3250,0.51%,17/10/2024,1403/07/26
"626,850","626,800","638,200","633,350",5700,0.91%,16/10/2024,1403/07/25
"630,350","626,100","630,800","627,650",3850,0.61%,15/10/2024,1403/07/24
"628,050","628,000","634,800","631,500",3050,0.49%,14/10/2024,1403/07/23
"624,750","624,700","630,600","628,450",3500,0.56%,13/10/2024,1403/07/22
"631,100","624,700","631,300","624,950",10550,1.69%,12/10/2024,1403/07/21
"628,900","628,700","636,300","635,500",6150,0.98%,10/10/2024,1403/07/19
"624,800","624,200","629,800","629,350",3900,0.62%,09/10/2024,1403/07/18
"627,650","625,000","628,300","625,450",3000,0.48%,08/10/2024,1403/07/17
"634,600","626,700","634,800","628,450",6100,0.97%,07/10/2024,1403/07/16
"624,350","624,200","634,800","634,550",10650,1.71%,06/10/2024,1403/07/15
"615,850","614,300","624,800","623,900",3000,0.48%,05/10/2024,1403/07/14
"621,300","620,900","631,300","626,900",4350,0.70%,03/10/2024,1403/07/12
"619,850","611,700","622,800","622,550",7600,1.24%,02/10/2024,1403/07/11
"605,800","605,200","615,400","614,950",11200,1.86%,01/10/2024,1403/07/10
"606,200","602,200","606,600","603,750",2350,0.39%,30/09/2024,1403/07/09
"609,450","601,300","609,700","606,100",900,0.15%,29/09/2024,1403/07/08
"598,050","597,800","615,300","607,000",6700,1.12%,28/09/2024,1403/07/07
"602,500","599,300","604,800","600,300",3150,0.53%,26/09/2024,1403/07/05
"603,150","596,500","603,400","597,150",7700,1.29%,25/09/2024,1403/07/04
"598,400","598,200","606,500","604,850",7050,1.18%,24/09/2024,1403/07/03
"595,250","593,800","597,800","597,800",2300,0.39%,23/09/2024,1403/07/02
"592,500","590,900","595,800","595,500",3200,0.54%,22/09/2024,1403/07/01
"591,450","590,500","592,500","592,300",50,0.01%,19/09/2024,1403/06/29
"595,100","592,200","597,550","592,350",2800,0.47%,18/09/2024,1403/06/28
"591,900","590,800","596,200","595,150",4150,0.70%,17/09/2024,1403/06/27
"591,050","588,500","593,800","591,000",600,0.10%,16/09/2024,1403/06/26
"594,250","589,200","594,700","590,400",3500,0.59%,15/09/2024,1403/06/25
"594,900","593,200","596,100","593,900",3600,0.61%,14/09/2024,1403/06/24
"596,000","594,900","598,300","597,500",1350,0.23%,11/09/2024,1403/06/21
"594,750","592,400","598,000","596,150",600,0.10%,10/09/2024,1403/06/20
"594,400","594,400","598,000","596,750",2250,0.38%,09/09/2024,1403/06/19
"596,700","593,500","598,300","594,500",3000,0.50%,08/09/2024,1403/06/18
"599,200","597,500","599,600","597,500",1500,0.25%,07/09/2024,1403/06/17
"599,400","599,000","599,600","599,000",100,0.02%,05/09/2024,1403/06/15
"592,000","591,500","600,600","598,900",100,0.02%,03/09/2024,1403/06/13
"594,500","590,700","600,300","599,000",4200,0.71%,01/09/2024,1403/06/11
"593,900","592,400","598,200","594,800",850,0.14%,31/08/2024,1403/06/10
"592,050","589,900","596,400","593,950",3950,0.67%,29/08/2024,1403/06/08
"589,350","588,800","596,600","590,000",1250,0.21%,28/08/2024,1403/06/07
"593,600","584,400","593,900","591,250",1950,0.33%,27/08/2024,1403/06/06
"590,400","590,300","597,400","593,200",10550,1.81%,26/08/2024,1403/06/05
"582,450","579,900","585,900","582,650",1450,0.25%,24/08/2024,1403/06/03
"586,700","581,900","590,100","584,100",2500,0.43%,22/08/2024,1403/06/01
"581,050","578,250","587,900","581,600",1750,0.30%,21/08/2024,1403/05/31
"587,800","578,650","590,000","579,850",3250,0.56%,20/08/2024,1403/05/30
"580,450","579,050","589,100","583,100",2600,0.45%,19/08/2024,1403/05/29
"576,200","573,500","581,200","580,500",3450,0.60%,18/08/2024,1403/05/28
"583,400","575,200","583,800","577,050",10600,1.84%,17/08/2024,1403/05/27
"586,350","584,800","590,100","587,650",700,0.12%,15/08/2024,1403/05/25
"591,500","587,600","593,500","588,350",7350,1.25%,14/08/2024,1403/05/24
"598,800","592,700","599,100","595,700",4550,0.76%,13/08/2024,1403/05/23
"595,350","594,850","602,100","600,250",6150,1.04%,12/08/2024,1403/05/22
"598,400","588,700","598,400","594,100",3600,0.61%,11/08/2024,1403/05/21
"603,800","594,900","604,400","597,700",12300,2.06%,10/08/2024,1403/05/20
"616,200","604,200","616,200","610,000",4010,0.66%,08/08/2024,1403/05/18
"609,370","602,300","615,300","614,010",2610,0.43%,07/08/2024,1403/05/17
"601,080","600,800","617,400","611,400",3500,0.57%,06/08/2024,1403/05/16
"607,890","601,600","620,500","614,900",5900,0.97%,05/08/2024,1403/05/15
"614,530","602,900","614,600","609,000",6270,1.03%,04/08/2024,1403/05/14
"611,790","608,710","616,750","615,270",9270,1.53%,03/08/2024,1403/05/13
"598,560","598,500","607,100","606,000",5600,0.93%,01/08/2024,1403/05/11
"595,000","594,610","606,400","600,400",6900,1.16%,31/07/2024,1403/05/10
"588,900","588,300","594,500","593,500",4100,0.70%,30/07/2024,1403/05/09
"590,520","584,600","592,700","589,400",1440,0.24%,29/07/2024,1403/05/08
"587,380","587,000","592,200","590,840",4380,0.75%,28/07/2024,1403/05/07
"587,650","585,600","588,200","586,460",1150,0.20%,27/07/2024,1403/05/06
"583,390","583,300","588,200","587,610",3010,0.51%,25/07/2024,1403/05/04
"582,970","582,300","585,200","584,600",2840,0.49%,24/07/2024,1403/05/03
"579,600","579,320","583,700","581,760",5800,1.01%,23/07/2024,1403/05/02
"575,850","574,300","578,700","575,960",150,0.03%,22/07/2024,1403/05/01
"577,750","575,000","579,200","576,110",340,0.06%,21/07/2024,1403/04/31
"571,860","571,600","576,000","575,770",3570,0.62%,20/07/2024,1403/04/30
"573,780","571,400","574,000","572,200",1100,0.19%,18/07/2024,1403/04/28
"582,470","572,900","582,500","573,300",5870,1.02%,17/07/2024,1403/04/27
"583,300","578,900","583,700","579,170",730,0.13%,14/07/2024,1403/04/24
"579,420","576,400","579,900","579,900",250,0.04%,13/07/2024,1403/04/23
"584,760","579,400","585,100","579,650",5450,0.94%,11/07/2024,1403/04/21
"588,600","584,700","588,800","585,100",3690,0.63%,10/07/2024,1403/04/20
"588,400","588,400","588,800","588,790",270,0.05%,09/07/2024,1403/04/19
"588,610","588,400","588,800","588,520",10,-,08/07/2024,1403/04/18
"588,570","588,400","588,700","588,510",9790,1.66%,07/07/2024,1403/04/17
"608,460","582,140","608,550","598,300",10460,1.75%,06/07/2024,1403/04/16
"602,360","601,300","611,950","608,760",5010,0.83%,04/07/2024,1403/04/14
"606,980","598,400","611,450","603,750",4390,0.73%,03/07/2024,1403/04/13
"613,950","606,400","616,000","608,140",5480,0.90%,02/07/2024,1403/04/12
"615,600","611,810","615,800","613,620",3290,0.54%,01/07/2024,1403/04/11
"615,340","615,000","618,000","616,910",6710,1.10%,30/06/2024,1403/04/10
"597,600","586,000","618,400","610,200",7000,1.16%,29/06/2024,1403/04/09
"609,000","598,200","617,200","603,200",2000,0.33%,27/06/2024,1403/04/07
"610,300","592,000","613,500","601,200",3300,0.55%,26/06/2024,1403/04/06
"606,500","595,900","612,400","604,500",1800,0.30%,24/06/2024,1403/04/04
"608,300","598,600","614,000","602,700",1500,0.25%,23/06/2024,1403/04/03
"597,200","593,900","608,700","601,200",13600,2.26%,22/06/2024,1403/04/02
"605,700","596,800","627,300","614,800",18700,3.14%,20/06/2024,1403/03/31
"603,600","583,900","614,400","596,100",8600,1.44%,19/06/2024,1403/03/30
"605,000","592,100","610,400","604,700",2100,0.35%,18/06/2024,1403/03/29
"614,200","590,300","623,100","602,600",6100,1.02%,16/06/2024,1403/03/27
"610,000","586,300","618,200","596,500",19400,3.25%,15/06/2024,1403/03/26
"605,000","599,100","620,700","615,900",7600,1.25%,13/06/2024,1403/03/24
"614,200","603,000","621,500","608,300",1600,0.26%,12/06/2024,1403/03/23
"613,100","605,800","619,800","609,900",1400,0.23%,11/06/2024,1403/03/22
"599,100","592,400","619,500","608,500",3100,0.51%,10/06/2024,1403/03/21
"613,000","602,800","618,700","611,600",7700,1.28%,09/06/2024,1403/03/20
"614,100","595,200","621,100","603,900",2000,0.33%,08/06/2024,1403/03/19
"611,200","596,900","617,600","601,900",2100,0.35%,06/06/2024,1403/03/17
"607,700","595,000","619,400","599,800",3300,0.55%,05/06/2024,1403/03/16
"601,400","588,800","607,300","603,100",3500,0.58%,02/06/2024,1403/03/13
"611,600","594,800","622,900","599,600",5800,0.97%,01/06/2024,1403/03/12
"612,400","598,600","617,200","605,400",11100,1.83%,30/05/2024,1403/03/10
"603,100","590,900","626,200","616,500",18300,3.06%,29/05/2024,1403/03/09
"597,000","585,400","607,700","598,200",15900,2.66%,28/05/2024,1403/03/08
"609,200","599,000","625,900","614,100",1900,0.31%,27/05/2024,1403/03/07
"612,200","601,700","622,900","612,200",2300,0.38%,26/05/2024,1403/03/06
